Parser Stack                     Input Stack                                                                                                 Action
-------------------------------  ----------------------------------------------------------------------------------------------------------  -------------------------------------
$ S                              $ if ( x >= y ) { x = 3 + 5 ; y = y + y ; y = 44 ; x += 354 ; x ++ ; -- x ; } else { x = y ; u = p + 3 ; }  Predict: S --> if ( cond ) { stat } T
$ if ( cond ) { stat } T         $ if ( x >= y ) { x = 3 + 5 ; y = y + y ; y = 44 ; x += 354 ; x ++ ; -- x ; } else { x = y ; u = p + 3 ; }  Match: if
$ ( cond ) { stat } T            $ ( x >= y ) { x = 3 + 5 ; y = y + y ; y = 44 ; x += 354 ; x ++ ; -- x ; } else { x = y ; u = p + 3 ; }     Match: (
$ cond ) { stat } T              $ x >= y ) { x = 3 + 5 ; y = y + y ; y = 44 ; x += 354 ; x ++ ; -- x ; } else { x = y ; u = p + 3 ; }       Predict: cond --> id cop id Cd
$ id cop id Cd ) { stat } T      $ x >= y ) { x = 3 + 5 ; y = y + y ; y = 44 ; x += 354 ; x ++ ; -- x ; } else { x = y ; u = p + 3 ; }       Predict: id --> letter
$ letter cop id Cd ) { stat } T  $ x >= y ) { x = 3 + 5 ; y = y + y ; y = 44 ; x += 354 ; x ++ ; -- x ; } else { x = y ; u = p + 3 ; }       Predict: letter --> x
$ x cop id Cd ) { stat } T       $ x >= y ) { x = 3 + 5 ; y = y + y ; y = 44 ; x += 354 ; x ++ ; -- x ; } else { x = y ; u = p + 3 ; }       Match: x
$ cop id Cd ) { stat } T         $ >= y ) { x = 3 + 5 ; y = y + y ; y = 44 ; x += 354 ; x ++ ; -- x ; } else { x = y ; u = p + 3 ; }         Predict: cop --> >=
$ >= id Cd ) { stat } T          $ >= y ) { x = 3 + 5 ; y = y + y ; y = 44 ; x += 354 ; x ++ ; -- x ; } else { x = y ; u = p + 3 ; }         Match: >=
$ id Cd ) { stat } T             $ y ) { x = 3 + 5 ; y = y + y ; y = 44 ; x += 354 ; x ++ ; -- x ; } else { x = y ; u = p + 3 ; }            Predict: id --> letter
$ letter Cd ) { stat } T         $ y ) { x = 3 + 5 ; y = y + y ; y = 44 ; x += 354 ; x ++ ; -- x ; } else { x = y ; u = p + 3 ; }            Predict: letter --> y
